ST	arcC	aroE	glpF	gmk	pta	tpi	yqiL
1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	26
3	1	1	1	9	1	1	12
4	10	10	8	6	10	3	2
5	1	4	1	4	12	1	10
6	12	4	1	4	12	1	3
7	5	4	1	4	4	6	3
8	3	3	1	1	4	4	3
9	3	3	1	1	1	1	10
10	8	7	6	2	9	9	7
11	1	24	1	4	12	1	10
12	1	3	1	8	11	5	11
13	1	3	1	10	11	5	11
14	1	13	1	1	12	11	13
15	13	13	1	1	12	11	13
16	15	13	1	1	12	11	13
17	2	23	2	2	19	20	2
18	13	15	1	1	12	11	13
19	2	2	2	2	7	17	19
20	4	9	1	8	1	10	8
21	7	6	13	5	8	8	6
22	7	6	1	5	8	8	6
23	7	6	7	5	8	8	6
24	2	2	2	17	2	2	2
25	4	1	4	1	5	5	4
26	4	1	4	1	5	5	9
27	3	3	1	1	1	22	10
28	4	1	9	1	5	5	4
29	6	5	17	2	7	7	5
30	2	2	2	2	6	3	2
31	2	2	2	3	6	3	2
32	2	12	2	2	6	3	2
33	2	17	2	2	6	3	2
34	8	2	2	2	6	3	2
35	13	13	1	1	12	21	13
36	2	2	2	2	3	3	2
37	2	2	2	2	15	3	2
38	2	2	10	2	3	3	2
39	2	2	2	2	2	2	2
40	2	2	2	2	6	2	2
41	2	2	3	2	2	2	2
42	8	2	2	11	2	2	2
43	2	2	2	2	2	2	25
44	7	21	1	5	8	8	6
45	10	14	8	6	10	3	2
46	10	14	8	6	14	3	2
47	10	11	8	6	10	3	2
48	17	11	8	6	10	3	2
49	14	16	11	2	13	12	14
50	16	16	12	2	13	13	15
51	6	5	6	2	7	7	5
52	14	2	2	2	13	12	2
53	10	14	8	6	10	16	2
54	10	14	8	13	10	3	2
55	12	20	6	14	13	18	20
56	13	19	1	1	12	11	13
57	2	2	2	2	6	49	2
58	13	30	1	1	12	11	13
59	19	23	15	2	19	20	15
60	7	6	1	7	8	8	6
61	13	13	1	1	37	11	13
62	6	4	12	2	7	26	5
63	1	3	1	1	1	1	10
64	6	4	4	2	13	26	5
65	6	4	12	2	7	26	2
66	10	4	19	18	13	32	2
67	10	20	19	18	13	32	5
68	10	20	19	18	13	32	15
69	1	28	1	1	1	1	1
70	18	1	1	1	1	5	11
71	18	1	1	1	1	5	3
72	1	4	1	8	4	4	3
73	1	4	27	4	12	1	10
74	2	2	2	19	6	3	2
75	36	3	43	34	39	52	49
76	1	63	1	1	1	1	1
77	2	2	2	6	10	3	2
78	22	1	14	23	12	53	31
79	7	6	1	33	8	8	6
80	1	3	1	14	11	51	10
81	1	1	1	9	1	1	1
82	22	1	14	23	12	14	31
83	1	4	1	4	12	1	1
84	1	26	28	32	18	33	27
85	31	4	1	4	12	1	10
86	2	4	1	8	4	4	3
87	19	23	15	2	41	20	15
88	22	1	14	23	12	4	31
89	1	26	28	18	18	33	50
90	1	4	1	4	42	1	10
91	1	26	28	18	18	54	50
92	1	26	28	18	18	54	27
93	6	64	44	2	43	55	51
94	3	3	1	1	4	4	45
95	6	5	6	2	7	14	34
96	12	1	1	15	11	1	40
97	3	1	1	1	1	5	3
98	1	4	1	35	12	1	10
99	1	4	1	4	12	56	10
100	1	65	1	4	12	1	10
101	3	1	14	15	11	19	3
102	10	12	1	6	44	57	13
103	22	1	14	23	12	33	31
104	19	23	15	2	6	3	15
105	1	4	1	4	12	1	28
106	3	1	14	15	11	43	3
107	1	4	2	8	4	4	3
108	10	14	8	6	10	61	2
109	3	27	1	1	1	1	10
110	2	3	1	38	4	4	3
111	1	4	1	4	46	24	29
112	3	3	1	12	4	4	55
